,0
22,"Whole Spices,Organic F&V,Organic F&V,Organic F&V,Exotic Vegetables,Organic F&V,Banana,Bread,Organic F&V,Basmati Rice"
23,"Namkeen,Beans,Gourd & Cucumber,Boiled Rice,Other Dals,Brinjals,Beans,Basmati Rice,Beans"
24,"Vermicelli,Toor Dal,Root Vegetables,Ghee,Regular Pasta,Namkeen,Moong Dal,Ice Creams & Desserts,Organic Rice & Rice Products,Other Dals"
25,"Other Dals,Other Oils,Other Dals,Raw Rice,Other Dals,Other Dals"
26,"Besan,Sooji & Rava,Other Dry Fruits,Raw Rice,Raw Rice,Other Dals,Moong Dal,Other Dry Fruits,Whole Spices,Other Oils,Other Flours,Vermicelli"
27,"Beans,Toor Dal,Other Dals,Other Vegetables,Glucose, Marie & Milk Biscuits,Root Vegetables,Sugar"
28,"Other Dals,Other Dals,Other Vegetables,Other Dals,Besan,Brinjals,Root Vegetables,Banana"
29,"Gourd & Cucumber,Beans,Beans,Namkeen,Honey,Brinjals,Sugar"
30,"Moong Dal,Beans,Moong Dal,Urad Dal,Whole Spices,Gourd & Cucumber,Brinjals,Whole Spices,Other Dals"
31,"Phenyles & Acids,Root Vegetables,Brinjals,Namkeen,Raw Rice,Butter & Cream,Tomato Ketchup"
32,"Other Dals,Raisins,Other Dals,Raw Rice,Avalakki / Poha,Brinjals,Other Dals,Root Vegetables"
33,"Besan,Phenyles & Acids,Bread,Namkeen,Sunflower Oils,Whole Spices,Toor Dal"
34,"Namkeen,Ice Creams & Desserts,Banana,Ice Creams & Desserts,Gourd & Cucumber,Organic F&V"
35,"Organic F&V,Beans,Other Vegetables,Root Vegetables,Beans,Beans,Organic F&V"
36,"Yogurt & Lassi,Other Vegetables,Root Vegetables,Banana,Other Dals,Raw Rice,Curd,Other Rice Products,Gourd & Cucumber"
37,"Root Vegetables,Urad Dal,Brinjals,Whole Spices,Other Dals,Organic F&V"
38,"Urad Dal,Other Rice Products,Almonds,Avalakki / Poha,Ground Coffee,Brinjals,Gourd & Cucumber,Vermicelli"
39,"Organic Masalas & Spices,Organic Dals & Pulses,Organic F&V,Organic F&V,Organic F&V,Organic F&V,Organic Dals & Pulses"
40,"Moong Dal,Moong Dal,Namkeen,Rice Flour,Urad Dal,Raw Peanuts,Whole Spices,Gourd & Cucumber,Namkeen"
41,"Organic F&V,Root Vegetables,Other Vegetables,Brinjals,Gourd & Cucumber,Exotic Vegetables"
42,"Regular Pasta,Namkeen,Other Dals,Other Vegetables,Raw Peanuts,Root Vegetables,Almonds,Raw Rice,Beans,Gourd & Cucumber"
43,"Boiled Rice,Raw Rice,Other Vegetables,Whole Spices,Moong Dal,Root Vegetables,Sugar,Glucose, Marie & Milk Biscuits,Root Vegetables,Toor Dal,Brinjals"
44,"Other Vegetables,Raw Peanuts,Moong Dal,Moong Dal,Avalakki / Poha,Other Flours,Other Dals,Root Vegetables,Other Rice Products,Organic F&V"
45,"Brinjals,Beans,Exotic Vegetables,Exotic Vegetables,Banana,Exotic Vegetables,Beans,Gourd & Cucumber"
46,"Chips,Namkeen,Namkeen,Beans,Namkeen,Banana"
47,"Liquid Soaps & Bars,Beans,Whole Spices,Other Vegetables,Gourd & Cucumber,Root Vegetables"
48,"Beans,Gourd & Cucumber,Brinjals,Sugar,Other Vegetables,Root Vegetables"
49,"Whole Spices,Root Vegetables,Other Dals,Gourd & Cucumber,Urad Dal,Moong Dal,Other Rice Products,Sugar,Gourd & Cucumber,Other Dals"
50,"Other Rice Products,Sugar,Moong Dal,Other Dals,Boiled Rice,Other Dals,Other Dals,Other Dry Fruits,Urad Dal"
51,"Almonds,Other Vegetables,Namkeen,Moong Dal,Other Dry Fruits,Root Vegetables,Beans,Maida,Namkeen,Health Drinks,Other Vegetables,Raisins,Namkeen"
52,"Root Vegetables,Milk,Basmati Rice,Organic Dals & Pulses,Beans,Organic Salt,Sugar & Jaggery,Banana"
53,"Toor Dal,Whole Spices,Whole Spices,Moong Dal,Gourd & Cucumber,Brinjals,Root Vegetables,Agarbatti"
54,"Whole Spices,Sooji & Rava,Other Vegetables,Gourd & Cucumber,Brinjals,Other Dals"
55,"Moong Dal,Other Vegetables,Other Dals,Raw Rice,Bread,Moong Dal"
56,"Moong Dal,Other Dals,Urad Dal,Whole Spices,Other Dals,Besan,Other Oils,Other Dals,Other Dals,Toor Dal"
57,"Boiled Rice,Other Dals,Root Vegetables,Beans,Whole Spices,Other Dals"
58,"Organic Masalas & Spices,Other Dry Fruits,Other Oils,Organic Masalas & Spices,Liquid Soaps & Bars,Health Drinks"
59,"Cooking Sauce,Beans,Packaged Drinking Water,Yogurt & Lassi,Yogurt & Lassi,Other Vegetables,Organic F&V"
60,"Snacky Nuts,Whole Spices,Whole Spices,Ready Mix,Namkeen,Raw Peanuts"
61,"Chilli & Soya Sauces,Sugar,Whole Spices,Raisins,Whole Spices,Agarbatti,Regular Pasta,Whole Spices,Other Dals,Ghee,Other Dals,Whole Spices,Cashews,Whole Spices"
62,"Namkeen,Snacky Nuts,Other Dals,Brinjals,Cooking Paste,Beans,Other Vegetables"
63,"Snacky Nuts,Urad Dal,Cakes,Raisins,Other Dry Fruits,Other Vegetables,Sooji & Rava,Root Vegetables,Cakes,Cashews,Root Vegetables"
64,"Moong Dal,Ghee,Almonds,Cashews,Brinjals,Root Vegetables,Other Dals"
65,"Rice Flour,Avalakki / Poha,Other Rice Products,Other Flours,Whole Spices,Other Dals,Moong Dal,Sugar,Toor Dal,Urad Dal"
66,"Moong Dal,Other Vegetables,Whole Spices,Mustard Oils,Glucose, Marie & Milk Biscuits,Beans,Gourd & Cucumber,Buns & Pavs,Gourd & Cucumber,Raisins"
67,"Sugar,Namkeen,Raw Rice,Sooji & Rava,Moong Dal,Honey,Other Dals,Other Dals,Whole Spices,Root Vegetables"
68,"Yogurt & Lassi,Cakes,Yogurt & Lassi,Gourd & Cucumber,Other Vegetables,Brinjals,Cashews"
69,"Frozen Chicken,Avalakki / Poha,Other Dals,Maida,Raw Peanuts,Cream Biscuits"
70,"Other Dals,Other Vegetables,Other Dals,Moong Dal,Other Dals,Other Vegetables"
71,"Namkeen,Basmati Rice,Sugar,Namkeen,Maida,Mustard Oils"
72,"Basmati Rice,Brinjals,Other Flours,Organic Flours,Ready Mix,Boiled Rice,Beans,Organic F&V,Root Vegetables"
73,"Beans,Other Dals,Raw Peanuts,Other Vegetables,Beans,Whole Spices,Other Vegetables,Exotic Vegetables,Ghee"
74,"Other Vegetables,Beans,Besan,Sugar,Toor Dal"
75,"Liquid Soaps & Bars,Organic F&V,Liquid Soaps & Bars,Tomato Ketchup,Liquid Soaps & Bars,Exotic Vegetables,Gourd & Cucumber,Brinjals,Exotic Vegetables"
76,"Whole Spices,Other Vegetables,Instant Noodles,Aluminium Foil & Cling Wrap,Tomato Ketchup,Cooking Paste,Beans"
77,"Root Vegetables,Beans,Banana,Gourd & Cucumber,Brinjals,Toor Dal,Urad Dal"
78,"Root Vegetables,Organic F&V,Mosquito Repellent,Banana,Organic F&V,Shaving Cream, Foam & Gels,Other Vegetables,Beans,Buns & Pavs,Beans"
79,"Moong Dal,Other Vegetables,Moong Dal,Ghee,Moong Dal,Brinjals,Sunflower Oils"
80,"Organic F&V,Beans,Organic Dals & Pulses,Organic F&V,Organic F&V,Organic F&V,Organic F&V,Organic F&V,Organic F&V"
81,"Organic F&V,Banana,Root Vegetables,Organic F&V,Organic F&V,Gourd & Cucumber"
82,"Gourd & Cucumber,Other Rice Products,Other Vegetables,Brinjals,Brinjals,Gourd & Cucumber,Beans"
83,"Brinjals,Other Dals,Whole Spices,Gourd & Cucumber,Root Vegetables,Other Vegetables,Gourd & Cucumber"
84,"Root Vegetables,Corn Snacks,Cooking Paste,Other Vegetables,Beans,Gourd & Cucumber,Sugar,Brinjals,Namkeen,Honey"
85,"Besan,Sooji & Rava,Whole Spices,Whole Spices,Bread,Organic Flours"
86,"Moong Dal,Root Vegetables,Other Dals,Organic F&V,Toor Dal,Whole Spices,Whole Spices"
87,"Other Oils,Organic F&V,Regular Pasta,Exotic Vegetables,Organic F&V,Raw Rice,Beans,Organic F&V,Exotic Vegetables,Other Dals,Root Vegetables,Organic Dals & Pulses,Raisins"
88,"Other Vegetables,Gourd & Cucumber,Other Vegetables,Brinjals,Brinjals,Beans"
89,"Jaggery,Organic F&V,Health Drinks,Gourd & Cucumber,Other Vegetables,Beans,Other Dals,Organic F&V,Sugar"
90,"Moong Dal,Cream Biscuits,Brinjals,Powdered Spices,Gourd & Cucumber,Other Vegetables"
91,"Beans,Beans,Root Vegetables,Gourd & Cucumber,Brinjals,Root Vegetables,Brinjals"
92,"Gourd & Cucumber,Other Vegetables,Sugar,Besan,Root Vegetables,Beans,Brinjals,Raw Peanuts,Other Vegetables"
93,"Cream Biscuits,Other Vegetables,Other Dals,Namkeen,Namkeen,Moong Dal,Gourd & Cucumber,Other Dals"
94,"Brinjals,Banana,Brinjals,Beans,Gourd & Cucumber,Gourd & Cucumber,Other Vegetables"
95,"Brinjals,Sooji & Rava,Other Vegetables,Gourd & Cucumber,Raw Rice,Toor Dal,Namkeen,Banana"
96,"Other Dals,Root Vegetables,Vermicelli,Moong Dal,Other Dals,Exotic Vegetables,Avalakki / Poha,Toor Dal,Urad Dal,Other Vegetables"
97,"Root Vegetables,Other Dals,Other Dals,Other Dals,Beans,Organic F&V"
98,"Moong Dal,Gourd & Cucumber,Other Dals,Gourd & Cucumber,Other Vegetables,Brinjals,Moong Dal"
99,"Sugar,Sunflower Oils,Jaggery,Other Dals,Ghee,Cashews,Other Dals,Honey,Moong Dal,Urad Dal"
100,"Bread,Root Vegetables,Brinjals,Other Vegetables,Beans,Other Vegetables"
101,"Banana,Liquid Soaps & Bars,Other Dry Fruits,Organic F&V,Organic F&V,Sugar,Beans,Other Oils"
102,"Organic F&V,Urad Dal,Other Vegetables,Root Vegetables,Organic F&V,Avalakki / Poha,Sunflower Oils,Besan,Sooji & Rava"
103,"Yogurt & Lassi,Banana,Namkeen,Yogurt & Lassi,Bread,Namkeen,Snacky Nuts,Packaged Drinking Water"
104,"Buns & Pavs,Other Dals,Brinjals,Other Dals,Organic F&V,Other Vegetables,Root Vegetables,Sooji & Rava"
105,"Whole Spices,Other Dals,Root Vegetables,Other Vegetables,Chinese Noodles,Exotic Vegetables"
106,"Bread,Organic Dals & Pulses,Organic F&V,Other Vegetables,Organic F&V,Organic Dals & Pulses,Organic F&V"
107,"Whole Spices,Banana,Other Dals,Exotic Vegetables,Other Dals,Beans,Beans,Brinjals,Besan,Sugar"
108,"Other Vegetables,Other Dals,Root Vegetables,Mosquito Repellent,Urad Dal,Boiled Rice,Boiled Rice"
109,"Namkeen,Health Drinks,Toor Dal,Namkeen,Sugar,Moong Dal,Other Dals,Namkeen,Organic Rice & Rice Products,Sooji & Rava,Corn Snacks,Namkeen,Namkeen"
110,"Raw Peanuts,Maida,Whole Spices,Raisins,Regular Pasta,Other Dals"
111,"Rice Flour,Moong Dal,Toor Dal,Whole Spices,Whole Spices,Beans,Other Vegetables,Sunflower Oils,Gourd & Cucumber"
112,"Organic Rice & Rice Products,Organic Dals & Pulses,Tomato Ketchup,Organic Dals & Pulses,Organic Rice & Rice Products,Organic Dals & Pulses,Organic Masalas & Spices"
113,"Whole Spices,Whole Spices,Moong Dal,Glucose, Marie & Milk Biscuits,Whole Spices,Glucose, Marie & Milk Biscuits,Whole Spices"
114,"Exotic Vegetables,Other Vegetables,Beans,Organic F&V,Gourd & Cucumber,Organic F&V,Organic F&V"
115,"Organic F&V,Banana,Exotic Vegetables,Exotic Vegetables,Exotic Vegetables,Other Vegetables,Organic F&V"
116,"Raw Rice,Organic Masalas & Spices,Organic Masalas & Spices,Moong Dal,Toor Dal,Raw Peanuts,Shoe Polish,Ghee,Organic Masalas & Spices,Organic Dals & Pulses,Moong Dal,Mosquito Repellent,Organic Masalas & Spices"
117,"Moong Dal,Other Vegetables,Organic F&V,Health Drinks,Sooji & Rava,Organic F&V,Organic F&V"
118,"Whole Spices,Root Vegetables,Other Vegetables,Liquid Soaps & Bars,Moong Dal,Whole Spices,Phenyles & Acids,Gourd & Cucumber"
119,"Beans,Other Dals,Root Vegetables,Root Vegetables,Other Dals,Maida,Brinjals,Basmati Rice"
120,"Organic F&V,Organic F&V,Organic F&V,Yogurt & Lassi,Organic F&V,Organic F&V,Other Vegetables"
121,"Banana,Root Vegetables,Mosquito Repellent,Beans,Other Vegetables,Beans,Gourd & Cucumber"
122,"Glucose, Marie & Milk Biscuits,Glucose, Marie & Milk Biscuits,Sunflower Oils,Other Vegetables,Other Dals,Sugar"
123,"Beans,Beans,Gourd & Cucumber,Other Dals,Organic F&V,Organic F&V,Brinjals,Organic F&V,Gourd & Cucumber"
124,"Other Dry Fruits,Other Vegetables,Raisins,Root Vegetables,Toor Dal,Banana,Brinjals,Wafers,Toothpaste,Glucose, Marie & Milk Biscuits"
125,"Sugar,Moong Dal,Raw Peanuts,Rice Flour,Sunflower Oils,Ground Coffee,Maida,Whole Spices,Boiled Rice,Whole Spices,Whole Spices,Urad Dal,Sooji & Rava,Raw Rice"
126,"Root Vegetables,Root Vegetables,Other Vegetables,Gourd & Cucumber,Besan,Banana,Brinjals"
127,"Root Vegetables,Brinjals,Chilli & Soya Sauces,Chilli & Soya Sauces,Sugar,Other Vegetables"
128,"Other Dals,Other Dals,Raw Peanuts,Organic F&V,Toor Dal,Root Vegetables"
129,"Root Vegetables,Glucose, Marie & Milk Biscuits,Health Drinks,Rice Flour,Beans,Other Dals,Toor Dal"
130,"Snacky Nuts,Namkeen,Basmati Rice,Organic F&V,Mosquito Repellent,Organic F&V,Namkeen,Banana,Organic F&V"
131,"Organic F&V,Organic F&V,Organic F&V,Organic F&V,Organic Flours,Raw Rice,Toor Dal"
132,"Moong Dal,Cream Biscuits,Organic F&V,Other Vegetables,Moong Dal,Gourd & Cucumber,Organic F&V,Raw Peanuts"
133,"Raw Rice,Gourd & Cucumber,Beans,Health Drinks,Banana,Other Vegetables,Beans"
134,"Organic Salt,Sugar & Jaggery,Sooji & Rava,Moong Dal,Boiled Rice,Urad Dal,Other Dals,Moong Dal"
135,"Root Vegetables,Maida,Other Dals,Other Dals,Gourd & Cucumber,Toor Dal,Moong Dal,Other Dals,Beans"
136,"Cooking Sauce,Other Sweets,Chips,Bread,Other Vegetables,Beans,Exotic Vegetables"
137,"Organic F&V,Aluminium Foil & Cling Wrap,Organic F&V,Chips,Namkeen,Other Sweets,Healthy Snacks,Organic F&V"
138,"Root Vegetables,Brinjals,Gourd & Cucumber,Beans,Beans,Other Vegetables,Gourd & Cucumber"
139,"Bread,Other Vegetables,Root Vegetables,Sunflower Oils,Other Vegetables,Rice Flour,Beans,Basmati Rice"
140,"Moong Dal,Organic F&V,Root Vegetables,Toor Dal,Namkeen,Namkeen,Root Vegetables"
141,"Urad Dal,Jaggery,Avalakki / Poha,Rice Flour,Sugar,Organic Masalas & Spices,Sooji & Rava"
142,"Moong Dal,Besan,Other Dals,Other Dals,Urad Dal,Other Dals,Regular Pasta"
143,"Gourd & Cucumber,Organic F&V,Organic F&V,Other Vegetables,Buns & Pavs,Other Vegetables,Root Vegetables"
144,"Brinjals,Other Vegetables,Sugar,Other Dals,Cooking Paste,Mosquito Repellent,Other Vegetables"
145,"Other Vegetables,Other Dals,Root Vegetables,Other Vegetables,Root Vegetables,Other Rice Products,Urad Dal"
146,"Organic F&V,Other Dals,Other Dals,Organic F&V,Organic F&V,Gourd & Cucumber,Moong Dal,Organic F&V,Urad Dal,Urad Dal"
147,"Moong Dal,Avalakki / Poha,Sugar,Other Oils,Liquid Soaps & Bars,Gourd & Cucumber,Cream Biscuits"
148,"Toor Dal,Sugar,Other Dals,Sugar,Other Dals,Moong Dal,Toor Dal"
149,"Other Vegetables,Organic Rice & Rice Products,Avalakki / Poha,Besan,Sooji & Rava,Other Dals,Raw Rice,Toor Dal,Organic F&V,Moong Dal,Sugar,Organic F&V"
150,"Other Dry Fruits,Cashews,Sooji & Rava,Other Sauces,Avalakki / Poha,Organic Masalas & Spices,Moong Dal"
151,"Urad Dal,Beans,Raw Rice,Organic F&V,Gourd & Cucumber,Other Vegetables,Brinjals"
152,"Organic F&V,Organic F&V,Other Vegetables,Gourd & Cucumber,Other Vegetables,Gourd & Cucumber,Organic F&V"
153,"Organic F&V,Organic F&V,Organic F&V,Organic F&V,Organic F&V,Organic F&V,Brinjals"
154,"Organic F&V,Organic F&V,Buns & Pavs,Organic F&V,Beans,Exotic Vegetables,Other Vegetables"
155,"Brinjals,Other Vegetables,Chilli & Soya Sauces,Brinjals,Root Vegetables,Gourd & Cucumber,Gourd & Cucumber"
156,"Exotic Vegetables,Namkeen,Namkeen,Glucose, Marie & Milk Biscuits,Root Vegetables,Other Vegetables,Exotic Vegetables,Cream Biscuits,Glucose, Marie & Milk Biscuits,Beans"
157,"Other Rice Products,Basmati Rice,Urad Dal,Banana,Whole Spices,Exotic Vegetables,Brinjals,Boiled Rice"
158,"Other Dals,Whole Spices,Raw Peanuts,Jaggery,Toilet Cleaners,Instant Noodles,Other Dals,Other Dals,Phenyles & Acids,Liquid Soaps & Bars,Whole Spices,Buns & Pavs,Toothpaste"
159,"Beans,Organic F&V,Brinjals,Brinjals,Organic F&V,Organic F&V,Gourd & Cucumber,Jaggery,Organic F&V"
160,"Organic F&V,Liquid Detergent,Organic F&V,Organic F&V,Organic F&V,Organic Salt,Sugar & Jaggery,Organic Dals & Pulses"
161,"Root Vegetables,Organic F&V,Banana,Organic F&V,Other Vegetables,Beans,Organic F&V,Avalakki / Poha"
162,"Moong Dal,Organic F&V,Beans,Yogurt & Lassi,Organic F&V,Besan,Root Vegetables"
163,"Other Dals,Beans,Gourd & Cucumber,Namkeen,Other Vegetables,Salty Biscuits,Other Dals,Brinjals,Toor Dal,Other Vegetables,Cream Biscuits,Sugar,Beans,Glucose, Marie & Milk Biscuits,Toilet Cleaners,Banana"
164,"Moong Dal,Gourd & Cucumber,Beans,Banana,Raw Rice,Sugar,Gourd & Cucumber"
165,"Other Dals,Sugar,Urad Dal,Toor Dal,Instant Noodles,Moong Dal,Sunflower Oils,Sooji & Rava"
166,"Organic Flours,Gourd & Cucumber,Regular Pasta,Organic F&V,Organic F&V,Organic F&V,Organic F&V,Bread,Organic F&V,Organic F&V"
167,"Exotic Vegetables,Organic F&V,Wafers,Exotic Vegetables,Other Vegetables,Beans,Corn Snacks"
168,"Organic F&V,Beans,Other Vegetables,Root Vegetables,Gourd & Cucumber,Raisins,Organic F&V,Other Vegetables,Root Vegetables"
169,"Raw Rice,Brinjals,Besan,Gourd & Cucumber,Other Vegetables,Toor Dal,Beans,Gourd & Cucumber,Root Vegetables,Root Vegetables,Other Vegetables"
170,"Brinjals,Organic F&V,Gourd & Cucumber,Organic F&V,Organic F&V,Organic F&V,Other Dals"
171,"Phenyles & Acids,Liquid Soaps & Bars,Sooji & Rava,Organic F&V,Besan,Sugar,Moong Dal,Moong Dal,Organic F&V"
172,"Organic F&V,Other Dry Fruits,Organic F&V,Banana,Snacky Nuts,Organic F&V,Organic F&V"
173,"Sooji & Rava,Besan,Urad Dal,Brinjals,Whole Spices,Urad Dal,Other Dals,Whole Spices,Other Vegetables,Whole Spices"
174,"Urad Dal,Organic F&V,Exotic Vegetables,Beans,Brinjals,Whole Spices,Raw Peanuts,Exotic Vegetables,Beans,Sugar"
175,"Organic F&V,Beans,Beans,Avalakki / Poha,Beans,Other Vegetables,Gourd & Cucumber"
176,"Aluminium Foil & Cling Wrap,Rice Flour,Raw Peanuts,Root Vegetables,Other Vegetables,Buns & Pavs,Beans,Other Vegetables,Tomato Ketchup,Sooji & Rava"
177,"Organic F&V,Exotic Vegetables,Organic F&V,Gourd & Cucumber,Other Vegetables,Exotic Vegetables,Cream Biscuits,Exotic Vegetables"
178,"Avalakki / Poha,Beans,Organic F&V,Beans,Exotic Vegetables,Raw Rice,Urad Dal"
179,"Namkeen,Namkeen,Toor Dal,Namkeen,Other Dals,Other Dals,Moong Dal,Namkeen,Namkeen,Moong Dal"
180,"Beans,Cakes,Toor Dal,Gourd & Cucumber,Mosquito Repellent,Liquid Soaps & Bars,Namkeen,Corn Snacks,Sunflower Oils"
181,"Root Vegetables,Gourd & Cucumber,Other Vegetables,Beans,Brinjals,Beans,Brinjals"
182,"Banana,Organic Flours,Sunflower Oils,Other Rice Products,Beans,Other Vegetables,Other Dals,Root Vegetables,Toor Dal"
183,"Other Dals,Phenyles & Acids,Other Vegetables,Sunflower Oils,Phenyles & Acids,Cashews,Root Vegetables,Moong Dal,Liquid Detergent,Health Drinks"
184,"Organic F&V,Beans,Gourd & Cucumber,Other Dals,Toor Dal,Organic F&V,Other Vegetables,Cashews,Moong Dal,Cooking Sauce"
185,"Sugar,Brinjals,Raisins,Raw Rice,Root Vegetables,Toor Dal,Beans,Snacky Nuts,Cashews"
186,"Rice Flour,Root Vegetables,Other Vegetables,Other Vegetables,Sunflower Oils,Sooji & Rava,Brinjals"
187,"Other Dals,Other Vegetables,Exotic Vegetables,Jaggery,Other Dals,Other Dals,Root Vegetables"
188,"Bread,Other Dals,Sunflower Oils,Banana,Tomato Ketchup,Other Rice Products,Sugar,Beans,Other Vegetables"
189,"Toor Dal,Brinjals,Regular Pasta,Beans,Gourd & Cucumber,Namkeen,Chilli & Soya Sauces,Sugar"
190,"Gourd & Cucumber,Instant Noodles,Banana,Maida,Other Vegetables,Rice Flour,Other Flours"
191,"Other Vegetables,Beans,Yogurt & Lassi,Yogurt & Lassi,Namkeen,Namkeen,Bread,Regular Pasta,Beans,Exotic Vegetables,Exotic Vegetables"
192,"Sugar,Root Vegetables,Beans,Urad Dal,Beans,Gourd & Cucumber"
193,"Toothpaste,Regular Pasta,Maida,Namkeen,Beans,Cooking Paste"
194,"Other Dals,Raw Rice,Jaggery,Other Dals,Toor Dal,Ghee"
195,"Other Vegetables,Banana,Root Vegetables,Other Vegetables,Root Vegetables,Beans"
196,"Sunflower Oils,Moong Dal,Gourd & Cucumber,Other Dals,Brinjals,Raw Rice,Instant Noodles,Maida,Beans,Toor Dal,Other Dals,Other Dals,Sooji & Rava,Other Dals"
197,"Cream Biscuits,Other Dals,Moong Dal,Jaggery,Moong Dal,Banana,Beans,Other Dals,Cream Biscuits,Other Vegetables,Sooji & Rava,Other Dals,Beans"
198,"Chinese Noodles,Other Dals,Root Vegetables,Toor Dal,Sanitary Pads,Gourd & Cucumber"
199,"Toor Dal,Raisins,Other Dals,Moong Dal,Sooji & Rava,Almonds,Other Dals,Besan,Beans,Sooji & Rava"
200,"Other Dals,Root Vegetables,Root Vegetables,Beans,Bread,Other Dals,Boiled Rice,Brinjals,Other Vegetables"
201,"Sugar,Boiled Rice,Other Vegetables,Ghee,Health Drinks,Urad Dal,Toor Dal"
202,"Beans,Gourd & Cucumber,Banana,Other Dry Fruits,Beans,Other Vegetables,Toor Dal"
203,"Moong Dal,Raw Peanuts,Sooji & Rava,Namkeen,Moong Dal,Namkeen,Urad Dal,Sugar,Raw Rice,Toor Dal,Moong Dal,Other Dals"
204,"Beans,Beans,Gourd & Cucumber,Root Vegetables,Brinjals,Brinjals,Root Vegetables"
205,"Namkeen,Namkeen,Other Vegetables,Namkeen,Moong Dal,Root Vegetables,Other Dals,Raw Rice,Toilet Cleaners,Other Dals,Other Dals"
206,"Other Vegetables,Whole Spices,Moong Dal,Liquid Detergent,Sugar,Whole Spices,Beans,Urad Dal,Gourd & Cucumber,Other Dals,Whole Spices,Other Dals,Buns & Pavs"
207,"Instant Noodles,Instant Noodles,Sooji & Rava,Beans,Banana,Beans"
208,"Sugar,Moong Dal,Other Vegetables,Toor Dal,Maida,Other Dals,Almonds"
209,"Organic F&V,Sooji & Rava,Urad Dal,Other Dals,Other Vegetables,Raw Peanuts,Snacky Nuts,Toor Dal,Gourd & Cucumber,Snacky Nuts,Namkeen,Corn Snacks,Health Drinks,Namkeen"
210,"Root Vegetables,Other Vegetables,Brinjals,Beans,Gourd & Cucumber,Beans,Beans"
211,"Brinjals,Other Vegetables,Moong Dal,Beans,Other Dals,Toor Dal,Whole Spices,Sugar"
212,"Other Dals,Other Dals,Basmati Rice,Avalakki / Poha,Other Rice Products,Gourd & Cucumber,Beans,Toor Dal"
213,"Diapers & Wipes,Whole Spices,Urad Dal,Whole Spices,Toilet Cleaners,Toor Dal,Phenyles & Acids,Sugar,Sunflower Oils"
214,"Other Dals,Instant Pastas,Beans,Other Vegetables,Root Vegetables,Instant Pastas"
215,"Banana,Exotic Vegetables,Root Vegetables,Beans,Bread,Cooking Sauce,Exotic Vegetables"
