basket_id,basket_items,recommended_items,recommended_items_details
7369894,Organic F&V; Organic F&V; Ice Creams & Desserts; Banana; Toothpaste; Organic F&V,Urad Dal; Toor Dal; Other Vegetables; Other Dals; Gourd & Cucumber; Sugar; Whole Spices; Moong Dal; Sooji & Rava; Sunflower Oils,"Urad Dal (Conf: 0.7941, Lift: 2.6832, Factor: 1); Toor Dal (Conf: 0.7477, Lift: 1.9363, Factor: 1); Other Vegetables (Conf: 0.6667, Lift: 1.4429, Factor: 1); Other Dals (Conf: 0.6639, Lift: 1.4465, Factor: 1); Gourd & Cucumber (Conf: 0.6091, Lift: 1.9323, Factor: 1); Sugar (Conf: 0.5724, Lift: 2.8731, Factor: 1); Whole Spices (Conf: 0.5631, Lift: 2.8485, Factor: 1); Moong Dal (Conf: 0.4873, Lift: 3.1934, Factor: 1); Sooji & Rava (Conf: 0.4615, Lift: 2.8653, Factor: 1); Sunflower Oils (Conf: 0.3603, Lift: 1.9279, Factor: 1)"
7370585,Moong Dal; Root Vegetables; Powdered Spices; Urad Dal; Other Dals; Toor Dal; Other Vegetables,Beans; Whole Spices; Sugar; Brinjals; Gourd & Cucumber; Banana; Raw Rice; Sooji & Rava; Organic F&V; Sunflower Oils,"Beans (Conf: 0.6259, Lift: 1.4075, Factor: 1); Whole Spices (Conf: 0.5793, Lift: 1.4209, Factor: 1); Sugar (Conf: 0.5061, Lift: 1.4464, Factor: 1); Brinjals (Conf: 0.4664, Lift: 1.4289, Factor: 1); Gourd & Cucumber (Conf: 0.4545, Lift: 1.4420, Factor: 1); Banana (Conf: 0.3211, Lift: 1.4170, Factor: 1); Raw Rice (Conf: 0.3172, Lift: 1.3561, Factor: 1); Sooji & Rava (Conf: 0.3027, Lift: 1.0630, Factor: 1); Organic F&V (Conf: 0.2544, Lift: 1.4227, Factor: 1); Sunflower Oils (Conf: 0.2461, Lift: 1.3168, Factor: 1)"
7377566,Other Dals; Other Dry Fruits; Moong Dal; Other Dals; Other Dals; Other Vegetables; Other Dry Fruits; Urad Dal; Other Dals; Almonds; Whole Spices; Gourd & Cucumber; Other Dals; Root Vegetables; Whole Spices,Beans; Toor Dal; Sugar; Brinjals; Sooji & Rava; Raw Rice; Banana; Organic F&V; Raw Peanuts; Avalakki / Poha,"Beans (Conf: 0.6265, Lift: 1.4088, Factor: 1); Toor Dal (Conf: 0.5500, Lift: 1.4244, Factor: 1); Sugar (Conf: 0.4935, Lift: 1.4104, Factor: 1); Brinjals (Conf: 0.4664, Lift: 1.4289, Factor: 1); Sooji & Rava (Conf: 0.3624, Lift: 1.2725, Factor: 1); Raw Rice (Conf: 0.3236, Lift: 1.3834, Factor: 1); Banana (Conf: 0.3211, Lift: 1.4170, Factor: 1); Organic F&V (Conf: 0.2544, Lift: 1.4227, Factor: 1); Raw Peanuts (Conf: 0.2483, Lift: 1.4006, Factor: 1); Avalakki / Poha (Conf: 0.2369, Lift: 1.3814, Factor: 1)"
7381183,Other Vegetables; Ghee; Sunflower Oils; Other Vegetables; Beans; Toor Dal; Brinjals; Raw Rice; Besan; Sugar,Other Dals; Whole Spices; Root Vegetables; Moong Dal; Gourd & Cucumber; Sooji & Rava; Urad Dal; Banana; Raw Peanuts; Maida,"Other Dals (Conf: 0.7227, Lift: 1.5746, Factor: 1); Whole Spices (Conf: 0.6500, Lift: 1.5943, Factor: 1); Root Vegetables (Conf: 0.6396, Lift: 1.5702, Factor: 1); Moong Dal (Conf: 0.5337, Lift: 1.5846, Factor: 1); Gourd & Cucumber (Conf: 0.4952, Lift: 1.5711, Factor: 1); Sooji & Rava (Conf: 0.4491, Lift: 1.5770, Factor: 1); Urad Dal (Conf: 0.3842, Lift: 1.2983, Factor: 1); Banana (Conf: 0.3000, Lift: 1.3240, Factor: 1); Raw Peanuts (Conf: 0.2641, Lift: 1.4898, Factor: 1); Maida (Conf: 0.1895, Lift: 1.5320, Factor: 1)"
7382432,Brinjals; Other Vegetables; Beans; Cooking Paste; Liquid Soaps & Bars; Root Vegetables; Gourd & Cucumber; Other Vegetables; Sugar,Other Dals; Whole Spices; Toor Dal; Moong Dal; Urad Dal; Sooji & Rava; Raw Rice; Sunflower Oils; Avalakki / Poha; Raw Peanuts,"Other Dals (Conf: 0.8247, Lift: 1.7970, Factor: 1); Whole Spices (Conf: 0.7287, Lift: 1.7873, Factor: 1); Toor Dal (Conf: 0.6900, Lift: 1.7869, Factor: 1); Moong Dal (Conf: 0.6090, Lift: 1.8081, Factor: 1); Urad Dal (Conf: 0.5297, Lift: 1.7898, Factor: 1); Sooji & Rava (Conf: 0.5084, Lift: 1.7853, Factor: 1); Raw Rice (Conf: 0.3629, Lift: 1.5513, Factor: 1); Sunflower Oils (Conf: 0.3382, Lift: 1.8093, Factor: 1); Avalakki / Poha (Conf: 0.3018, Lift: 1.7597, Factor: 1); Raw Peanuts (Conf: 0.2854, Lift: 1.6102, Factor: 1)"
7382539,Whole Spices; Other Dals; Moong Dal; Namkeen; Urad Dal; Other Dals,Other Vegetables; Beans; Root Vegetables; Toor Dal; Sugar; Brinjals; Gourd & Cucumber; Sooji & Rava; Raw Rice; Banana,"Other Vegetables (Conf: 0.6707, Lift: 1.4515, Factor: 1); Beans (Conf: 0.6265, Lift: 1.4088, Factor: 1); Root Vegetables (Conf: 0.5799, Lift: 1.4236, Factor: 1); Toor Dal (Conf: 0.5500, Lift: 1.4244, Factor: 1); Sugar (Conf: 0.4935, Lift: 1.4104, Factor: 1); Brinjals (Conf: 0.4664, Lift: 1.4289, Factor: 1); Gourd & Cucumber (Conf: 0.4412, Lift: 1.3996, Factor: 1); Sooji & Rava (Conf: 0.4138, Lift: 1.4530, Factor: 1); Raw Rice (Conf: 0.3236, Lift: 1.3834, Factor: 1); Banana (Conf: 0.3211, Lift: 1.4170, Factor: 1)"
7384012,Whole Spices; Other Vegetables; Whole Spices; Whole Spices; Brinjals; Whole Spices; Honey; Urad Dal; Urad Dal; Whole Spices,Other Dals; Beans; Toor Dal; Root Vegetables; Sugar; Moong Dal; Gourd & Cucumber; Sooji & Rava; Raw Rice; Sunflower Oils,"Other Dals (Conf: 0.8025, Lift: 1.7485, Factor: 1); Beans (Conf: 0.7143, Lift: 1.6062, Factor: 1); Toor Dal (Conf: 0.6840, Lift: 1.7714, Factor: 1); Root Vegetables (Conf: 0.6812, Lift: 1.6723, Factor: 1); Sugar (Conf: 0.6220, Lift: 1.7778, Factor: 1); Moong Dal (Conf: 0.5976, Lift: 1.7742, Factor: 1); Gourd & Cucumber (Conf: 0.5155, Lift: 1.6354, Factor: 1); Sooji & Rava (Conf: 0.4860, Lift: 1.7067, Factor: 1); Raw Rice (Conf: 0.3793, Lift: 1.6216, Factor: 1); Sunflower Oils (Conf: 0.3333, Lift: 1.7835, Factor: 1)"
7387521,Other Dals; Sunflower Oils; Raw Rice; Boiled Rice; Whole Spices; Urad Dal; Moong Dal; Other Dals; Cashews,Other Vegetables; Beans; Root Vegetables; Toor Dal; Sugar; Brinjals; Gourd & Cucumber; Sooji & Rava; Banana; Organic F&V,"Other Vegetables (Conf: 0.6707, Lift: 1.4515, Factor: 1); Beans (Conf: 0.6265, Lift: 1.4088, Factor: 1); Root Vegetables (Conf: 0.5799, Lift: 1.4236, Factor: 1); Toor Dal (Conf: 0.5500, Lift: 1.4244, Factor: 1); Sugar (Conf: 0.4935, Lift: 1.4104, Factor: 1); Brinjals (Conf: 0.4664, Lift: 1.4289, Factor: 1); Gourd & Cucumber (Conf: 0.4412, Lift: 1.3996, Factor: 1); Sooji & Rava (Conf: 0.3624, Lift: 1.2725, Factor: 1); Banana (Conf: 0.3211, Lift: 1.4170, Factor: 1); Organic F&V (Conf: 0.2544, Lift: 1.4227, Factor: 1)"
7387995,Maida; Other Flours; Other Dry Fruits; Beans; Other Vegetables; Besan; Root Vegetables; Avalakki / Poha; Phenyles & Acids; Other Vegetables; Gourd & Cucumber; Raw Peanuts,Other Dals; Whole Spices; Toor Dal; Sugar; Moong Dal; Brinjals; Urad Dal; Sooji & Rava; Sunflower Oils; Raw Rice,"Other Dals (Conf: 0.7887, Lift: 1.7185, Factor: 1); Whole Spices (Conf: 0.7596, Lift: 1.8631, Factor: 1); Toor Dal (Conf: 0.7215, Lift: 1.8686, Factor: 1); Sugar (Conf: 0.6519, Lift: 1.8629, Factor: 1); Moong Dal (Conf: 0.6294, Lift: 1.8687, Factor: 1); Brinjals (Conf: 0.5778, Lift: 1.7702, Factor: 1); Urad Dal (Conf: 0.5521, Lift: 1.8656, Factor: 1); Sooji & Rava (Conf: 0.5314, Lift: 1.8661, Factor: 1); Sunflower Oils (Conf: 0.3421, Lift: 1.8304, Factor: 1); Raw Rice (Conf: 0.3376, Lift: 1.4433, Factor: 1)"
7389900,Gourd & Cucumber; Bread; Namkeen; Besan; Other Vegetables; Sugar; Urad Dal,Other Dals; Beans; Whole Spices; Toor Dal; Root Vegetables; Moong Dal; Brinjals; Sooji & Rava; Raw Rice; Sunflower Oils,"Other Dals (Conf: 0.7534, Lift: 1.6416, Factor: 1); Beans (Conf: 0.7385, Lift: 1.6606, Factor: 1); Whole Spices (Conf: 0.7287, Lift: 1.7873, Factor: 1); Toor Dal (Conf: 0.6918, Lift: 1.7916, Factor: 1); Root Vegetables (Conf: 0.6724, Lift: 1.6508, Factor: 1); Moong Dal (Conf: 0.5976, Lift: 1.7742, Factor: 1); Brinjals (Conf: 0.5747, Lift: 1.7606, Factor: 1); Sooji & Rava (Conf: 0.5084, Lift: 1.7853, Factor: 1); Raw Rice (Conf: 0.3636, Lift: 1.5546, Factor: 1); Sunflower Oils (Conf: 0.3294, Lift: 1.7626, Factor: 1)"
7397516,Rice Flour; Sooji & Rava; Other Dals; Sooji & Rava; Ghee; Namkeen; Sooji & Rava; Aluminium Foil & Cling Wrap; Besan; Urad Dal; Sunflower Oils,Other Vegetables; Beans; Whole Spices; Root Vegetables; Toor Dal; Sugar; Moong Dal; Brinjals; Gourd & Cucumber; Raw Rice,"Other Vegetables (Conf: 0.7143, Lift: 1.5459, Factor: 1); Beans (Conf: 0.6882, Lift: 1.5475, Factor: 1); Whole Spices (Conf: 0.6296, Lift: 1.5443, Factor: 1); Root Vegetables (Conf: 0.6235, Lift: 1.5307, Factor: 1); Toor Dal (Conf: 0.5894, Lift: 1.5264, Factor: 1); Sugar (Conf: 0.5386, Lift: 1.5393, Factor: 1); Moong Dal (Conf: 0.5029, Lift: 1.4930, Factor: 1); Brinjals (Conf: 0.4974, Lift: 1.5238, Factor: 1); Gourd & Cucumber (Conf: 0.4859, Lift: 1.5415, Factor: 1); Raw Rice (Conf: 0.3603, Lift: 1.5404, Factor: 1)"
7397712,Brinjals; Besan; Other Dals; Curd; Moong Dal; Whole Spices; Avalakki / Poha,Other Vegetables; Beans; Root Vegetables; Toor Dal; Sugar; Gourd & Cucumber; Urad Dal; Sooji & Rava; Raw Rice; Banana,"Other Vegetables (Conf: 0.7551, Lift: 1.6343, Factor: 1); Beans (Conf: 0.7172, Lift: 1.6129, Factor: 1); Root Vegetables (Conf: 0.6641, Lift: 1.6303, Factor: 1); Toor Dal (Conf: 0.6222, Lift: 1.6114, Factor: 1); Sugar (Conf: 0.5471, Lift: 1.5635, Factor: 1); Gourd & Cucumber (Conf: 0.5155, Lift: 1.6354, Factor: 1); Urad Dal (Conf: 0.4402, Lift: 1.4873, Factor: 1); Sooji & Rava (Conf: 0.4350, Lift: 1.5276, Factor: 1); Raw Rice (Conf: 0.3793, Lift: 1.6216, Factor: 1); Banana (Conf: 0.3211, Lift: 1.4170, Factor: 1)"
7399616,Whole Spices; Organic F&V; Organic F&V; Organic F&V; Exotic Vegetables; Organic F&V; Banana; Bread; Organic F&V; Basmati Rice,Other Dals; Urad Dal; Other Vegetables; Toor Dal; Sugar; Moong Dal; Beans; Sooji & Rava; Root Vegetables; Gourd & Cucumber,"Other Dals (Conf: 0.8025, Lift: 1.7485, Factor: 1); Urad Dal (Conf: 0.7941, Lift: 2.6832, Factor: 1); Other Vegetables (Conf: 0.7778, Lift: 1.6833, Factor: 1); Toor Dal (Conf: 0.7719, Lift: 1.9992, Factor: 1); Sugar (Conf: 0.7288, Lift: 2.0829, Factor: 1); Moong Dal (Conf: 0.7133, Lift: 2.1180, Factor: 1); Beans (Conf: 0.7032, Lift: 1.5813, Factor: 1); Sooji & Rava (Conf: 0.6914, Lift: 2.4277, Factor: 1); Root Vegetables (Conf: 0.6812, Lift: 1.6723, Factor: 1); Gourd & Cucumber (Conf: 0.6091, Lift: 1.9323, Factor: 1)"
7402891,Namkeen; Beans; Gourd & Cucumber; Boiled Rice; Other Dals; Brinjals; Beans; Basmati Rice; Beans,Whole Spices; Toor Dal; Other Vegetables; Sugar; Moong Dal; Root Vegetables; Urad Dal; Sooji & Rava; Raw Rice; Sunflower Oils,"Whole Spices (Conf: 0.7716, Lift: 1.8925, Factor: 1); Toor Dal (Conf: 0.7317, Lift: 1.8950, Factor: 1); Other Vegetables (Conf: 0.7196, Lift: 1.5574, Factor: 1); Sugar (Conf: 0.6571, Lift: 1.8781, Factor: 1); Moong Dal (Conf: 0.6378, Lift: 1.8937, Factor: 1); Root Vegetables (Conf: 0.6332, Lift: 1.5545, Factor: 1); Urad Dal (Conf: 0.5585, Lift: 1.8870, Factor: 1); Sooji & Rava (Conf: 0.5399, Lift: 1.8958, Factor: 1); Raw Rice (Conf: 0.3563, Lift: 1.5231, Factor: 1); Sunflower Oils (Conf: 0.3472, Lift: 1.8575, Factor: 1)"
7403298,Vermicelli; Toor Dal; Root Vegetables; Ghee; Regular Pasta; Namkeen; Moong Dal; Ice Creams & Desserts; Organic Rice & Rice Products; Other Dals,Other Vegetables; Beans; Whole Spices; Sugar; Brinjals; Gourd & Cucumber; Urad Dal; Sooji & Rava; Raw Rice; Banana,"Other Vegetables (Conf: 0.7236, Lift: 1.5660, Factor: 1); Beans (Conf: 0.7172, Lift: 1.6129, Factor: 1); Whole Spices (Conf: 0.6535, Lift: 1.6030, Factor: 1); Sugar (Conf: 0.5637, Lift: 1.6110, Factor: 1); Brinjals (Conf: 0.5157, Lift: 1.5800, Factor: 1); Gourd & Cucumber (Conf: 0.5047, Lift: 1.6012, Factor: 1); Urad Dal (Conf: 0.4655, Lift: 1.5729, Factor: 1); Sooji & Rava (Conf: 0.4491, Lift: 1.5770, Factor: 1); Raw Rice (Conf: 0.3767, Lift: 1.6106, Factor: 1); Banana (Conf: 0.3211, Lift: 1.4170, Factor: 1)"
7403661,Other Dals; Other Oils; Other Dals; Raw Rice; Other Dals; Other Dals,Whole Spices; Sugar; Beans; Moong Dal; Other Vegetables; Toor Dal; Urad Dal; Sooji & Rava; Root Vegetables; Brinjals,"Whole Spices (Conf: 0.8598, Lift: 2.1089, Factor: 1); Sugar (Conf: 0.7477, Lift: 2.1370, Factor: 1); Beans (Conf: 0.7477, Lift: 1.6815, Factor: 1); Moong Dal (Conf: 0.7273, Lift: 2.1594, Factor: 1); Other Vegetables (Conf: 0.7196, Lift: 1.5574, Factor: 1); Toor Dal (Conf: 0.7049, Lift: 1.8256, Factor: 1); Urad Dal (Conf: 0.6667, Lift: 2.2526, Factor: 1); Sooji & Rava (Conf: 0.6474, Lift: 2.2735, Factor: 1); Root Vegetables (Conf: 0.6332, Lift: 1.5545, Factor: 1); Brinjals (Conf: 0.5157, Lift: 1.5800, Factor: 1)"
7406145,Besan; Sooji & Rava; Other Dry Fruits; Raw Rice; Raw Rice; Other Dals; Moong Dal; Other Dry Fruits; Whole Spices; Other Oils; Other Flours; Vermicelli,Other Vegetables; Beans; Root Vegetables; Toor Dal; Sugar; Brinjals; Gourd & Cucumber; Urad Dal; Banana; Raw Peanuts,"Other Vegetables (Conf: 0.6758, Lift: 1.4627, Factor: 1); Beans (Conf: 0.6508, Lift: 1.4634, Factor: 1); Root Vegetables (Conf: 0.5766, Lift: 1.4157, Factor: 1); Toor Dal (Conf: 0.5676, Lift: 1.4699, Factor: 1); Sugar (Conf: 0.4935, Lift: 1.4104, Factor: 1); Brinjals (Conf: 0.4780, Lift: 1.4645, Factor: 1); Gourd & Cucumber (Conf: 0.4444, Lift: 1.4099, Factor: 1); Urad Dal (Conf: 0.4187, Lift: 1.4148, Factor: 1); Banana (Conf: 0.3211, Lift: 1.4170, Factor: 1); Raw Peanuts (Conf: 0.2599, Lift: 1.4663, Factor: 1)"
7406752,"Beans; Toor Dal; Other Dals; Other Vegetables; Glucose, Marie & Milk Biscuits; Root Vegetables; Sugar",Whole Spices; Moong Dal; Brinjals; Gourd & Cucumber; Sooji & Rava; Urad Dal; Raw Rice; Banana; Sunflower Oils; Avalakki / Poha,"Whole Spices (Conf: 0.6269, Lift: 1.5375, Factor: 1); Moong Dal (Conf: 0.5149, Lift: 1.5286, Factor: 1); Brinjals (Conf: 0.4986, Lift: 1.5275, Factor: 1); Gourd & Cucumber (Conf: 0.4859, Lift: 1.5415, Factor: 1); Sooji & Rava (Conf: 0.4350, Lift: 1.5276, Factor: 1); Urad Dal (Conf: 0.3842, Lift: 1.2983, Factor: 1); Raw Rice (Conf: 0.3563, Lift: 1.5231, Factor: 1); Banana (Conf: 0.3000, Lift: 1.3240, Factor: 1); Sunflower Oils (Conf: 0.2767, Lift: 1.4803, Factor: 1); Avalakki / Poha (Conf: 0.2298, Lift: 1.3399, Factor: 1)"
