,0
19,"Other Vegetables,Beans,Brinjals,Beans,Beans,Boiled Rice,Urad Dal,Namkeen,Cream Biscuits"
20,"Beans,Root Vegetables,Raw Peanuts,Raw Rice,Sugar,Besan,Ghee,Jaggery,Sunflower Oils,Other Dry Fruits,Cashews,Almonds,Besan"
21,"Root Vegetables,Other Vegetables,Root Vegetables,Gourd & Cucumber,Other Dals,Whole Spices,Toor Dal,Other Dals,Whole Spices,Moong Dal,Beans,Urad Dal,Raw Rice,Glucose, Marie & Milk Biscuits,Whole Spices"
22,"Namkeen,Avalakki / Poha,Mosquito Repellent,Namkeen,Cream Biscuits,Instant Noodles,Cashews,Instant Noodles"
23,"Whole Spices,Whole Spices,Sooji & Rava,Other Dals,Organic Salt,Sugar & Jaggery,Organic Dals & Pulses,Organic Rice & Rice Products,Whole Spices"
24,"Other Vegetables,Root Vegetables,Moong Dal,Moong Dal,Other Dals,Sooji & Rava,Besan,Other Dals,Jaggery,Instant Noodles,Toor Dal,Other Rice Products"
25,"Banana,Beans,Whole Spices,Besan,Maida,Cream Biscuits,Cream Biscuits,Sunflower Oils,Toor Dal"
26,"Gourd & Cucumber,Other Dals,Sooji & Rava,Other Dals,Banana,Cooking Paste,Cashews,Namkeen,Toor Dal,Raisins"
27,"Other Vegetables,Beans,Brinjals,Brinjals,Banana,Jaggery,Organic F&V,Organic F&V,Organic F&V,Organic F&V"
28,"Root Vegetables,Other Vegetables,Beans,Gourd & Cucumber,Other Dals,Other Dals,Moong Dal,Urad Dal,Gourd & Cucumber,Urad Dal,Sugar,Other Dals,Almonds,Mustard Oils,Other Dals,Raisins"
29,"Root Vegetables,Other Vegetables,Beans,Raw Peanuts,Whole Spices,Moong Dal,Moong Dal,Avalakki / Poha,Sooji & Rava,Sooji & Rava,Boiled Rice,Urad Dal,Rice Flour,Namkeen,Sugar,Jaggery,Whole Spices,Boiled Rice,Toor Dal,Other Rice Products"
30,"Other Dals,Moong Dal,Organic Masalas & Spices,Whole Spices,Bread,Urad Dal,Urad Dal,Boiled Rice,Toor Dal,Whole Spices,Raw Rice,Other Oils"
31,"Root Vegetables,Other Vegetables,Other Vegetables,Root Vegetables,Beans,Beans,Brinjals,Other Dry Fruits,Almonds,Cashews"
32,"Namkeen,Whole Spices,Toor Dal,Ghee,Sugar,Raw Rice,Raisins,Cashews,Namkeen,Mustard Oils,Besan"
33,"Raw Peanuts,Moong Dal,Moong Dal,Urad Dal,Other Dals,Other Dals,Cashews,Liquid Soaps & Bars,Toor Dal,Whole Spices"
34,"Whole Spices,Moong Dal,Sugar,Besan,Raw Rice,Whole Spices,Raisins,Honey,Almonds,Toor Dal,Other Dals"
35,"Raw Peanuts,Whole Spices,Sooji & Rava,Moong Dal,Raw Rice,Other Rice Products,Sugar,Rice Flour,Jaggery,Ground Coffee,Avalakki / Poha,Ghee,Whole Spices"
36,"Gourd & Cucumber,Other Dals,Moong Dal,Other Dals,Raw Peanuts,Other Dals,Brinjals,Ghee,Toor Dal"
37,"Other Vegetables,Root Vegetables,Root Vegetables,Exotic Vegetables,Exotic Vegetables,Banana,Yogurt & Lassi,Yogurt & Lassi"
38,"Other Vegetables,Banana,Vermicelli,Cooking Paste,Toor Dal,Other Dals,Moong Dal,Besan,Other Dals"
39,"Toor Dal,Ghee,Sunflower Oils,Other Flours,Ground Coffee,Sunflower Oils,Sunflower Oils,Other Sweets,Cashews,Whole Spices"
40,"Other Vegetables,Root Vegetables,Banana,Toor Dal,Beans,Raw Rice,Urad Dal,Ready Mix"
41,"Other Vegetables,Beans,Beans,Beans,Raw Peanuts,Other Dals,Maida,Sugar,Boiled Rice"
42,"Exotic Vegetables,Exotic Vegetables,Other Dals,Exotic Vegetables,Toor Dal,Maida,Brinjals,Raw Rice"
43,"Beans,Beans,Beans,Gourd & Cucumber,Whole Spices,Moong Dal,Gourd & Cucumber,Toor Dal,Other Dals"
44,"Brinjals,Brinjals,Other Vegetables,Root Vegetables,Beans,Other Vegetables,Gourd & Cucumber,Gourd & Cucumber"
45,"Root Vegetables,Other Vegetables,Other Vegetables,Banana,Beans,Moong Dal,Exotic Vegetables,Toor Dal,Cakes,Cakes,Buns & Pavs,Phenyles & Acids,Organic F&V,Liquid Soaps & Bars"
46,"Raw Rice,Sugar,Besan,Urad Dal,Jaggery,Mango Juices,Hand Wash,Cooking Sauce"
47,"Root Vegetables,Brinjals,Root Vegetables,Exotic Vegetables,Ghee,Sanitary Pads,Other Dry Fruits,Cashews,Organic F&V,Basmati Rice,Other Dry Fruits,Curd"
48,"Toor Dal,Bread,Sooji & Rava,Organic Rice & Rice Products,Maida,Chilli & Soya Sauces,Whole Spices,Besan"
49,"Brinjals,Namkeen,Raw Rice,Aluminium Foil & Cling Wrap,Maida,Sugar,Basmati Rice,Toor Dal"
50,"Beans,Other Vegetables,Brinjals,Other Vegetables,Root Vegetables,Other Dry Fruits,Organic F&V,Organic F&V"
51,"Whole Spices,Moong Dal,Urad Dal,Sunflower Oils,Sooji & Rava,Other Rice Products,Sugar,Other Dals,Mosquito Repellent,Whole Spices,Liquid Detergent,Liquid Soaps & Bars,Toor Dal"
52,"Other Vegetables,Other Vegetables,Gourd & Cucumber,Moong Dal,Other Dals,Beans,Beans,Toor Dal,Brinjals,Sugar,Other Dals"
53,"Other Vegetables,Root Vegetables,Other Vegetables,Brinjals,Cooking Paste,Vermicelli,Avalakki / Poha,Sooji & Rava,Besan,Honey"
54,"Whole Spices,Sooji & Rava,Rice Flour,Yogurt & Lassi,Yogurt & Lassi,Yogurt & Lassi,Whole Spices,Milk Drinks"
55,"Brinjals,Other Vegetables,Beans,Raw Peanuts,Brinjals,Other Rice Products,Sugar,Instant Noodles,Glucose, Marie & Milk Biscuits,Cooking Sauce"
56,"Root Vegetables,Beans,Whole Spices,Boiled Rice,Urad Dal,Other Dals,Other Rice Products,Whole Spices,Other Dry Fruits,Curd,Brinjals"
57,"Other Vegetables,Beans,Gourd & Cucumber,Moong Dal,Moong Dal,Urad Dal,Health Drinks,Organic F&V,Brinjals"
58,"Bread,Other Vegetables,Sooji & Rava,Gourd & Cucumber,Other Dals,Maida,Brinjals,Whole Spices"
59,"Other Vegetables,Root Vegetables,Banana,Gourd & Cucumber,Whole Spices,Other Dals,Besan,Sooji & Rava,Jaggery,Whole Spices"
60,"Root Vegetables,Beans,Bread,Other Rice Products,Other Dals,Other Dals,Mosquito Repellent,Avalakki / Poha,Organic F&V,Glucose, Marie & Milk Biscuits"
61,"Namkeen,Other Dals,Raw Peanuts,Health Drinks,Other Dals,Sooji & Rava,Sugar,Namkeen,Cashews,Toffee & Candy,Glucose, Marie & Milk Biscuits,Namkeen,Raisins"
62,"Other Vegetables,Root Vegetables,Gourd & Cucumber,Moong Dal,Raw Rice,Gourd & Cucumber,Brinjals,Namkeen,Cream Biscuits,Namkeen,Namkeen,Snacky Nuts,Namkeen,Basmati Rice,Namkeen"
63,"Namkeen,Namkeen,Namkeen,Namkeen,Namkeen,Glucose, Marie & Milk Biscuits,Namkeen,Namkeen,Namkeen,Namkeen,Healthy Snacks"
64,"Beans,Root Vegetables,Whole Spices,Sooji & Rava,Beans,Avalakki / Poha,Sunflower Oils,Other Dry Fruits,Urad Dal,Other Dals,Other Dals"
65,"Root Vegetables,Other Dals,Rice Flour,Maida,Sooji & Rava,Sooji & Rava,Other Dals,Besan"
66,"Moong Dal,Moong Dal,Other Dals,Sugar,Organic Rice & Rice Products,Moong Dal,Boiled Rice,Urad Dal,Other Dals,Raw Rice,Liquid Detergent,Other Dals,Toor Dal,Other Dals,Whole Spices,Whole Spices,Besan"
67,"Root Vegetables,Root Vegetables,Other Vegetables,Gourd & Cucumber,Banana,Moong Dal,Other Juices,Other Dry Fruits,Other Dry Fruits,Honey,Basmati Rice,Other Dry Fruits"
68,"Root Vegetables,Beans,Other Vegetables,Brinjals,Other Vegetables,Banana,Beans,Exotic Vegetables,Organic F&V,Organic F&V"
69,"Raw Peanuts,Whole Spices,Whole Spices,Avalakki / Poha,Moong Dal,Other Dals,Other Dals,Whole Spices,Sooji & Rava,Sooji & Rava,Health Drinks,Urad Dal,Rice Flour,Other Dals,Maida,Other Dals,Jaggery,Avalakki / Poha,Other Dry Fruits,Raisins,Almonds,Raw Rice,Other Dals,Cashews,Other Spreads,Whole Spices,Whole Spices,Whole Spices,Powdered Spices,Whole Spices,Other Rice Products"
70,"Root Vegetables,Other Vegetables,Root Vegetables,Aluminium Foil & Cling Wrap,Organic Salt,Sugar & Jaggery,Organic F&V,Organic F&V,Besan"
71,"Moong Dal,Other Dals,Toor Dal,Namkeen,Avalakki / Poha,Whole Spices,Toothpaste,Cashews,Raisins,Cream Biscuits"
72,"Other Vegetables,Root Vegetables,Beans,Gourd & Cucumber,Beans,Cooking Paste,Sugar,Brinjals,Urad Dal,Other Dals,Other Dals,Other Rice Products,Boiled Rice,Whole Spices,Boiled Rice,Other Dals,Toor Dal,Curd,Moong Dal,Frozen Chicken"
73,"Other Vegetables,Root Vegetables,Raw Peanuts,Whole Spices,Moong Dal,Banana,Sooji & Rava,Ghee,Raisins,Almonds,Namkeen,Whole Spices,Besan"
74,"Beans,Other Vegetables,Root Vegetables,Beans,Raisins,Other Dry Fruits,Almonds,Cashews,Cotton & Bandages"
75,"Whole Spices,Other Dals,Other Dals,Aluminium Foil & Cling Wrap,Other Dals,Brinjals,Other Insect Repellent,Other Dals"
76,"Other Vegetables,Beans,Sooji & Rava,Maida,Brinjals,Chinese Noodles,Raw Rice,Chinese Noodles,Toor Dal"
77,"Bread,Banana,Moong Dal,Urad Dal,Sugar,Whole Spices,Whole Spices,Sooji & Rava,Rice Flour,Sunflower Oils,Other Rice Products,Other Dals,Raw Rice,Jaggery,Instant Noodles,Sanitary Pads,Boiled Rice,Cashews,Vermicelli,Ground Coffee,Basmati Rice,Other Dals,Whole Spices,Besan"
78,"Other Vegetables,Gourd & Cucumber,Beans,Namkeen,Namkeen,Ice Creams & Desserts,Organic F&V,Namkeen,Ice Creams & Desserts"
79,"Basmati Rice,Other Vegetables,Other Vegetables,Gourd & Cucumber,Whole Spices,Moong Dal,Raw Peanuts,Other Dals,Gourd & Cucumber,Toor Dal,Sooji & Rava,Urad Dal,Sunflower Oils,Jaggery,Sugar,Avalakki / Poha,Powdered Spices"
80,"Root Vegetables,Brinjals,Other Vegetables,Other Vegetables,Root Vegetables,Beans,Gourd & Cucumber,Urad Dal,Banana,Sooji & Rava,Cashews,Tomato Ketchup,Other Oils"
81,"Root Vegetables,Brinjals,Root Vegetables,Beans,Health Drinks,Banana,Sugar,Brinjals"
82,"Brinjals,Urad Dal,Maida,Boiled Rice,Besan,Aluminium Foil & Cling Wrap,Raw Rice,Sunflower Oils,Glucose, Marie & Milk Biscuits,Organic F&V"
83,"Health Drinks,Toor Dal,Moong Dal,Whole Spices,Urad Dal,Sugar,Sunflower Oils,Other Dry Fruits,Liquid Soaps & Bars,Toor Dal,Whole Spices"
84,"Beans,Brinjals,Avalakki / Poha,Other Dals,Other Flours,Other Dals,Glucose, Marie & Milk Biscuits,Other Dals,Toor Dal,Whole Spices"
85,"Ground Coffee,Instant Noodles,Instant Noodles,Instant Noodles,Ice Creams & Desserts,Liquid Soaps & Bars,Namkeen,Namkeen"
86,"Root Vegetables,Beans,Gourd & Cucumber,Beans,Whole Spices,Gourd & Cucumber,Whole Spices,Brinjals"
87,"Ground Coffee,Toor Dal,Sooji & Rava,Raw Rice,Other Rice Products,Sooji & Rava,Sunflower Oils,Sugar,Jaggery,Cooking Sauce"
88,"Whole Spices,Vermicelli,Avalakki / Poha,Raw Peanuts,Sooji & Rava,Sooji & Rava,Urad Dal,Sugar,Whole Spices,Other Dry Fruits,Health Drinks,Whole Spices,Other Rice Products,Raisins"
89,"Namkeen,Raw Peanuts,Whole Spices,Namkeen,Whole Spices,Maida,Besan,Other Dals,Namkeen,Namkeen,Toor Dal"
90,"Ground Coffee,Raw Peanuts,Other Dals,Rice Flour,Other Dals,Other Dals,Urad Dal,Avalakki / Poha,Whole Spices,Other Rice Products"
91,"Root Vegetables,Other Vegetables,Other Vegetables,Root Vegetables,Beans,Moong Dal,Ghee,Urad Dal,Raisins,Other Dry Fruits,Other Dry Fruits"
92,"Basmati Rice,Raw Peanuts,Moong Dal,Whole Spices,Avalakki / Poha,Toor Dal,Sooji & Rava,Sugar,Besan,Maida,Other Dals,Whole Spices,Whole Spices"
93,"Root Vegetables,Moong Dal,Toor Dal,Other Dals,Other Dals,Maida,Ghee,Chinese Noodles,Phenyles & Acids"
94,"Whole Spices,Whole Spices,Other Dals,Whole Spices,Moong Dal,Other Dals,Urad Dal,Sugar,Maida,Mosquito Repellent,Other Dals,Whole Spices,Toor Dal,Whole Spices,Whole Spices,Whole Spices"
95,"Root Vegetables,Gourd & Cucumber,Whole Spices,Whole Spices,Banana,Whole Spices,Gourd & Cucumber,Urad Dal,Whole Spices"
96,"Other Vegetables,Ready Mix,Cakes,Honey,Face Wash,Organic F&V,Organic F&V,Basmati Rice,Curd"
97,"Avalakki / Poha,Organic Dals & Pulses,Organic Dals & Pulses,Sooji & Rava,Organic Salt,Sugar & Jaggery,Whole Spices,Organic Dals & Pulses,Organic Rice & Rice Products"
98,"Other Vegetables,Other Vegetables,Gourd & Cucumber,Beans,Beans,Sugar,Gourd & Cucumber,Brinjals"
99,"Bread,Other Vegetables,Beans,Gourd & Cucumber,Toor Dal,Cooking Paste,Other Dals,Other Dals,Sugar,Brinjals,Liquid Soaps & Bars,Other Dals"
100,"Other Vegetables,Raw Peanuts,Whole Spices,Avalakki / Poha,Raw Rice,Raw Rice,Health Drinks,Sugar,Mosquito Repellent,Cashews,Vermicelli,Organic F&V,Basmati Rice,Other Dals,Other Rice Products"
101,"Whole Spices,Toor Dal,Sooji & Rava,Whole Spices,Whole Spices,Maida,Other Dals,Organic Dals & Pulses,Cashews,Almonds,Phenyles & Acids,Other Dals,Snacky Nuts,Other Dals,Other Dals"
102,"Root Vegetables,Brinjals,Other Vegetables,Other Vegetables,Beans,Beans,Brinjals,Ghee"
103,"Root Vegetables,Root Vegetables,Other Vegetables,Beans,Raw Peanuts,Moong Dal,Sooji & Rava,Beans,Gourd & Cucumber,Raw Rice,Toor Dal,Sooji & Rava,Sugar,Besan,Mosquito Repellent,Phenyles & Acids,Basmati Rice,Whole Spices,Toor Dal"
104,"Beans,Other Vegetables,Ground Coffee,Root Vegetables,Root Vegetables,Beans,Banana,Beans,Health Drinks,Avalakki / Poha,Health Drinks,Urad Dal,Rice Flour,Instant Pastas,Jaggery,Mosquito Repellent,Organic Masalas & Spices,Organic F&V"
105,"Moong Dal,Whole Spices,Other Dals,Urad Dal,Sugar,Sooji & Rava,Urad Dal,Other Dals,Sunflower Oils,Boiled Rice,Other Dals,Toor Dal,Other Dals,Whole Spices,Toilet Cleaners"
106,"Beans,Brinjals,Other Vegetables,Other Vegetables,Beans,Banana,Beans,Sugar,Sunflower Oils,Cashews,Whole Spices"
107,"Exotic Vegetables,Beans,Toor Dal,Sugar,Raw Rice,Agarbatti,Whole Spices,Besan,Raisins"
108,"Namkeen,Other Vegetables,Namkeen,Other Dals,Whole Spices,Sooji & Rava,Namkeen,Maida,Cooking Paste,Brinjals,Besan"
109,"Root Vegetables,Gourd & Cucumber,Beans,Beans,Avalakki / Poha,Brinjals,Other Dals,Other Dals,Other Dals,Other Dals,Other Dals"
110,"Other Vegetables,Moong Dal,Raw Peanuts,Other Dals,Sugar,Sooji & Rava,Moong Dal,Other Rice Products,Urad Dal,Rice Flour,Besan,Other Flours"
111,"Gourd & Cucumber,Other Dals,Moong Dal,Urad Dal,Urad Dal,Phenyles & Acids,Toor Dal,Other Dals,Besan,Other Dals"
112,"Brinjals,Other Vegetables,Root Vegetables,Beans,Other Vegetables,Gourd & Cucumber,Gourd & Cucumber,Brinjals,Basmati Rice"
113,"Root Vegetables,Banana,Raw Rice,Sugar,Boiled Rice,Organic F&V,Organic F&V,Organic F&V,Whole Spices"
114,"Brinjals,Brinjals,Other Vegetables,Other Vegetables,Beans,Other Dals,Whole Spices,Moong Dal,Other Dals,Urad Dal,Other Dals,Other Oils,Toor Dal"
115,"Root Vegetables,Other Vegetables,Brinjals,Moong Dal,Toor Dal,Gourd & Cucumber,Sugar,Jaggery,Raw Rice,Cashews,Whole Spices,Whole Spices"
116,"Root Vegetables,Root Vegetables,Beans,Beans,Bread,Raw Rice,Organic F&V,Organic F&V"
117,"Other Vegetables,Root Vegetables,Banana,Toor Dal,Sugar,Other Dals,Agarbatti,Cooking Sauce,Organic F&V,Other Pooja Needs,Other Rice Products"
118,"Root Vegetables,Brinjals,Other Vegetables,Other Vegetables,Root Vegetables,Banana,Beans,Sooji & Rava,Brinjals"
119,"Brinjals,Other Vegetables,Other Vegetables,Whole Spices,Raw Peanuts,Sooji & Rava,Sugar,Jaggery,Whole Spices,Root Vegetables,Raisins,Whole Spices,Whole Spices,Whole Spices,Whole Spices"
120,"Banana,Beans,Bread,Shoe Polish,Mosquito Repellent,Organic Rice & Rice Products,Shoe Polish,Organic F&V,Organic F&V,Organic F&V"
121,"Sooji & Rava,Moong Dal,Urad Dal,Sooji & Rava,Sooji & Rava,Raw Rice,Urad Dal,Other Dals,Boiled Rice,Cream Biscuits,Boiled Rice,Health Drinks"
122,"Root Vegetables,Root Vegetables,Other Vegetables,Gourd & Cucumber,Other Dals,Whole Spices,Moong Dal,Other Dals,Gourd & Cucumber,Other Dals,Brinjals,Body Wash,Whole Spices"
123,"Other Vegetables,Root Vegetables,Banana,Other Vegetables,Gourd & Cucumber,Beans,Brinjals,Sooji & Rava,Sooji & Rava,Shaving Blade & Razors,Hand Wash"
124,"Bread,Other Vegetables,Namkeen,Beans,Snacky Nuts,Namkeen,Namkeen,Basmati Rice"
125,"Other Vegetables,Other Vegetables,Beans,Gourd & Cucumber,Whole Spices,Avalakki / Poha,Other Rice Products,Brinjals,Agarbatti,Whole Spices"
126,"Health Drinks,Whole Spices,Liquid Soaps & Bars,Ghee,Whole Spices,Avalakki / Poha,Raw Rice,Almonds"
127,"Root Vegetables,Other Vegetables,Brinjals,Beans,Gourd & Cucumber,Beans,Gourd & Cucumber,Organic Dals & Pulses,Other Dals,Whole Spices,Organic F&V,Organic F&V"
128,"Brinjals,Brinjals,Other Vegetables,Gourd & Cucumber,Root Vegetables,Other Dals,Sooji & Rava,Toor Dal,Other Dals,Sugar,Other Dals,Maida,Urad Dal,Besan"
129,"Whole Spices,Boiled Rice,Sugar,Other Dals,Toor Dal,Sunflower Oils,Urad Dal,Whole Spices"
130,"Other Vegetables,Root Vegetables,Beans,Organic Masalas & Spices,Beans,Whole Spices,Cakes,Cashews,Raisins,Cashews,Other Dals,Powdered Spices"
131,"Root Vegetables,Beans,Other Vegetables,Whole Spices,Moong Dal,Raw Rice,Sooji & Rava,Other Rice Products,Sooji & Rava,Ghee,Other Dals,Sugar,Other Flours,Almonds,Basmati Rice,Other Rice Products"
132,"Root Vegetables,Root Vegetables,Banana,Beans,Liquid Soaps & Bars,Other Rice Products,Rice Flour,Other Rice Products,Cream Biscuits,Other Dry Fruits,Regular Pasta,Yogurt & Lassi,Yogurt & Lassi,Curd,Milk Drinks"
133,"Namkeen,Namkeen,Namkeen,Namkeen,Phenyles & Acids,Namkeen,Namkeen,Namkeen,Namkeen"
134,"Root Vegetables,Beans,Other Vegetables,Gourd & Cucumber,Whole Spices,Sooji & Rava,Sugar,Whole Spices,Namkeen,Mosquito Repellent,Whole Spices,Body Wash,Besan"
135,"Brinjals,Banana,Organic Salt,Sugar & Jaggery,Organic F&V,Organic F&V,Organic F&V,Whole Spices,Whole Spices,Whole Spices"
136,"Root Vegetables,Root Vegetables,Beans,Banana,Organic F&V,Organic F&V,Organic F&V,Organic F&V"
137,"Ground Coffee,Whole Spices,Moong Dal,Whole Spices,Toor Dal,Avalakki / Poha,Raw Peanuts,Whole Spices,Sooji & Rava,Sooji & Rava,Other Rice Products,Urad Dal,Rice Flour,Besan,Sooji & Rava,Sugar,Jaggery,Raisins,Cashews,Toor Dal"
138,"Raw Peanuts,Moong Dal,Urad Dal,Besan,Sugar,Raisins,Cashews,Basmati Rice,Other Dals,Toor Dal"
139,"Other Vegetables,Other Dals,Other Dals,Other Rice Products,Urad Dal,Other Rice Products,Raw Rice,Organic F&V,Organic F&V"
140,"Brinjals,Beans,Organic Salt,Sugar & Jaggery,Boiled Rice,Snacky Nuts,Organic Salt,Sugar & Jaggery,Organic F&V,Namkeen"
141,"Whole Spices,Whole Spices,Other Dals,Urad Dal,Other Dals,Sunflower Oils,Boiled Rice,Other Dals,Other Dals,Jaggery,Raw Rice,Honey,Toor Dal,Namkeen,Other Dals,Other Dals"
142,"Root Vegetables,Other Vegetables,Gourd & Cucumber,Beans,Root Vegetables,Brinjals,Gourd & Cucumber,Brinjals"
143,"Brinjals,Raw Peanuts,Whole Spices,Raw Rice,Namkeen,Other Insect Repellent,Other Dals,Phenyles & Acids"
144,"Moong Dal,Toor Dal,Avalakki / Poha,Other Dals,Sooji & Rava,Maida,Raisins,Cashews,Whole Spices,Whole Spices,Whole Spices,Besan"
145,"Exotic Vegetables,Other Vegetables,Gourd & Cucumber,Beans,Root Vegetables,Raw Rice,Banana,Urad Dal,Other Dals,Brinjals,Snacky Nuts,Organic F&V,Toor Dal,Organic F&V"
146,"Moong Dal,Urad Dal,Sooji & Rava,Urad Dal,Sooji & Rava,Cream Biscuits,Cashews,Other Oils,Toor Dal,Whole Spices"
147,"Root Vegetables,Other Vegetables,Root Vegetables,Banana,Gourd & Cucumber,Beans,Beans,Sooji & Rava,Health Drinks"
148,"Banana,Beans,Raw Peanuts,Exotic Vegetables,Whole Spices,Bread,Organic F&V,Organic F&V,Phenyles & Acids,Whole Spices"
149,"Other Vegetables,Brinjals,Whole Spices,Sugar,Other Dals,Other Dals,Jaggery,Whole Spices,Whole Spices,Curd,Curd,Toor Dal,Whole Spices,Whole Spices,Whole Spices"
150,"Whole Spices,Whole Spices,Avalakki / Poha,Beans,Toor Dal,Sugar,Besan,Sunflower Oils,Raw Rice,Agarbatti,Namkeen,Organic F&V,Organic F&V,Organic F&V,Whole Spices,Mustard Oils,Other Rice Products"
151,"Root Vegetables,Banana,Whole Spices,Cooking Paste,Gourd & Cucumber,Raw Rice,Ready Mix,Toor Dal"
152,"Root Vegetables,Root Vegetables,Raw Peanuts,Whole Spices,Sooji & Rava,Sooji & Rava,Urad Dal,Sugar,Other Dals,Mosquito Repellent,Almonds,Raw Rice,Other Dals,Phenyles & Acids,Toor Dal,Whole Spices,Whole Spices,Whole Spices"
153,"Whole Spices,Other Dals,Whole Spices,Whole Spices,Urad Dal,Besan,Other Dals,Sunflower Oils,Cream Biscuits,Raisins,Other Rice Products,Other Dry Fruits,Regular Pasta,Cashews,Yogurt & Lassi,Other Dals,Whole Spices,Whole Spices,Toor Dal,Whole Grains"
154,"Root Vegetables,Exotic Vegetables,Maida,Almonds,Honey,Cooking Sauce,Organic F&V,Organic F&V,Organic F&V,Curd"
155,"Sunflower Oils,Health Drinks,Whole Spices,Raw Peanuts,Raw Rice,Sugar,Whole Spices,Whole Spices"
156,"Other Vegetables,Toor Dal,Urad Dal,Other Rice Products,Other Dals,Ghee,Urad Dal,Jaggery,Sugar,Avalakki / Poha,Organic F&V,Organic F&V"
157,"Root Vegetables,Toor Dal,Raw Rice,Sooji & Rava,Organic Rice & Rice Products,Namkeen,Namkeen,Other Rice Products"
158,"Root Vegetables,Other Vegetables,Banana,Other Dals,Other Oils,Raisins,Cashews,Other Dry Fruits,Other Dals"
159,"Root Vegetables,Root Vegetables,Brinjals,Brinjals,Gourd & Cucumber,Gourd & Cucumber,Brinjals,Health Drinks"
160,"Root Vegetables,Root Vegetables,Raw Peanuts,Moong Dal,Avalakki / Poha,Sunflower Oils,Sooji & Rava,Raw Rice,Health Drinks,Sooji & Rava,Avalakki / Poha,Body Wash,Toothpaste,Other Rice Products"
161,"Whole Spices,Whole Spices,Toor Dal,Avalakki / Poha,Raw Rice,Whole Spices,Organic Dals & Pulses,Boiled Rice,Health Drinks,Jaggery,Other Oils,Avalakki / Poha,Other Dry Fruits,Other Dry Fruits,Urad Dal,Health Drinks,Toothpaste,Other Dals,Whole Spices,Whole Spices,Sugar Cubes"
162,"Other Dals,Other Dals,Other Dals,Sugar,Toor Dal,Sooji & Rava,Besan,Other Dals,Namkeen,Other Dals,Maida,Raisins,Cashews,Mosquito Repellent,Basmati Rice,Namkeen,Whole Spices"
163,"Other Vegetables,Other Vegetables,Exotic Vegetables,Gourd & Cucumber,Whole Spices,Gourd & Cucumber,Regular Pasta,Namkeen,Regular Pasta"
