basket_id,basket_skus,basket_names,recommended_skus,recommended_names,recommended_details
7381183,15668381; 7624788; 7580802; 15668379; 15668467; 15669878; 15668455; 15669829; 15669764; 15669856,Other Vegetables; Ghee; Sunflower Oils; Other Vegetables; Beans; Toor Dal; Brinjals; Raw Rice; Besan; Sugar,15668460; 15669760; 15668381; 15668688; 15668379; 15669878; 15668467; 15668478; 15668462; 15668465,Gourd & Cucumber; Whole Spices; Other Vegetables; Root Vegetables; Other Vegetables; Toor Dal; Beans; Banana; Gourd & Cucumber; Root Vegetables,"15668460 (Gourd & Cucumber) - Conf: 0.4554, Lift: 2.4674, Factor: 1; 15669760 (Whole Spices) - Conf: 0.3992, Lift: 3.3414, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3695, Lift: 1.8093, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.3496, Lift: 1.8820, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.3415, Lift: 1.8499, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2975, Lift: 1.7348, Factor: 1; 15668467 (Beans) - Conf: 0.2769, Lift: 2.0591, Factor: 1; 15668478 (Banana) - Conf: 0.2619, Lift: 1.8369, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.2579, Lift: 2.0591, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2573, Lift: 1.9869, Factor: 1"
7382432,15668457; 15668380; 15668468; 7572432; 7623116; 15668375; 15668462; 15668381; 15669856,Brinjals; Other Vegetables; Beans; Cooking Paste; Liquid Soaps & Bars; Root Vegetables; Gourd & Cucumber; Other Vegetables; Sugar,15668381; 15669760; 15668460; 15668688; 15669878; 15668379; 15668462; 15668478; 15668468; 15668378,Other Vegetables; Whole Spices; Gourd & Cucumber; Root Vegetables; Toor Dal; Other Vegetables; Gourd & Cucumber; Banana; Beans; Other Vegetables,"15668381 (Other Vegetables) - Conf: 0.4010, Lift: 1.9633, Factor: 1; 15669760 (Whole Spices) - Conf: 0.3992, Lift: 3.3414, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3037, Lift: 1.6454, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.3027, Lift: 1.6298, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2975, Lift: 1.7348, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.2946, Lift: 1.5960, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.2579, Lift: 2.0591, Factor: 1; 15668478 (Banana) - Conf: 0.2448, Lift: 1.7170, Factor: 1; 15668468 (Beans) - Conf: 0.2338, Lift: 1.8499, Factor: 1; 15668378 (Other Vegetables) - Conf: 0.2317, Lift: 1.6987, Factor: 1"
7382539,34986135; 21409004; 15669863; 92388008; 15669773; 15669763,Whole Spices; Other Dals; Moong Dal; Namkeen; Urad Dal; Other Dals,15668465,Root Vegetables,"15668465 (Root Vegetables) - Conf: 0.1712, Lift: 1.3221, Factor: 1"
7384012,15669760; 15668379; 34986112; 34986119; 15668451; 15669823; 7611899; 15669777; 15669773; 15669821,Whole Spices; Other Vegetables; Whole Spices; Whole Spices; Brinjals; Whole Spices; Honey; Urad Dal; Urad Dal; Whole Spices,15668688; 15668460; 15668379; 15668467; 15668381; 15668478; 15668465; 15668468; 15668685,Root Vegetables; Gourd & Cucumber; Other Vegetables; Beans; Other Vegetables; Banana; Root Vegetables; Beans; Beans,"15668688 (Root Vegetables) - Conf: 0.3496, Lift: 1.8820, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3446, Lift: 1.8670, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.3415, Lift: 1.8499, Factor: 1; 15668467 (Beans) - Conf: 0.2769, Lift: 2.0591, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.2703, Lift: 1.3233, Factor: 1; 15668478 (Banana) - Conf: 0.2619, Lift: 1.8369, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2573, Lift: 1.9869, Factor: 1; 15668468 (Beans) - Conf: 0.1754, Lift: 1.3874, Factor: 1; 15668685 (Beans) - Conf: 0.1528, Lift: 1.9633, Factor: 1"
7387521,15669769; 7580802; 15669824; 15669825; 34986125; 15669767; 15669869; 15670271; 15669970,Other Dals; Sunflower Oils; Raw Rice; Boiled Rice; Whole Spices; Urad Dal; Moong Dal; Other Dals; Cashews,15668478; 15668467,Banana; Beans,"15668478 (Banana) - Conf: 0.1887, Lift: 1.3233, Factor: 1; 15668467 (Beans) - Conf: 0.1775, Lift: 1.3195, Factor: 1"
7387995,15669887; 15669770; 15669957; 15668472; 15668378; 29247044; 15668688; 15669872; 7684032; 15668381; 15668463; 15669857,Maida; Other Flours; Other Dry Fruits; Beans; Other Vegetables; Besan; Root Vegetables; Avalakki / Poha; Phenyles & Acids; Other Vegetables; Gourd & Cucumber; Raw Peanuts,15669760; 15668381; 15669869; 15669821; 15668460; 15668688; 15669878; 15668378; 15668467; 15668462,Whole Spices; Other Vegetables; Moong Dal; Whole Spices; Gourd & Cucumber; Root Vegetables; Toor Dal; Other Vegetables; Beans; Gourd & Cucumber,"15669760 (Whole Spices) - Conf: 0.3992, Lift: 3.3414, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3695, Lift: 1.8093, Factor: 1; 15669869 (Moong Dal) - Conf: 0.3287, Lift: 2.5928, Factor: 1; 15669821 (Whole Spices) - Conf: 0.3065, Lift: 3.3414, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3037, Lift: 1.6454, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.3027, Lift: 1.6298, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2975, Lift: 1.7348, Factor: 1; 15668378 (Other Vegetables) - Conf: 0.2837, Lift: 2.0794, Factor: 1; 15668467 (Beans) - Conf: 0.2797, Lift: 2.0794, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.2579, Lift: 2.0591, Factor: 1"
7389900,15668460; 15668521; 7569801; 15669764; 15668378; 15669856; 15669773,Gourd & Cucumber; Bread; Namkeen; Besan; Other Vegetables; Sugar; Urad Dal,15668688; 15668460; 15669869; 15669821; 15669777; 15668467; 15669878; 15668478; 15669780; 15668465,Root Vegetables; Gourd & Cucumber; Moong Dal; Whole Spices; Urad Dal; Beans; Toor Dal; Banana; Sugar; Root Vegetables,"15668688 (Root Vegetables) - Conf: 0.3690, Lift: 1.9869, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3340, Lift: 1.8093, Factor: 1; 15669869 (Moong Dal) - Conf: 0.3287, Lift: 2.5928, Factor: 1; 15669821 (Whole Spices) - Conf: 0.3065, Lift: 3.3414, Factor: 1; 15669777 (Urad Dal) - Conf: 0.2888, Lift: 2.5928, Factor: 1; 15668467 (Beans) - Conf: 0.2797, Lift: 2.0794, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2736, Lift: 1.5952, Factor: 1; 15668478 (Banana) - Conf: 0.2276, Lift: 1.5960, Factor: 1; 15669780 (Sugar) - Conf: 0.2270, Lift: 1.5338, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2000, Lift: 1.5446, Factor: 1"
7397516,15669883; 15669783; 15669866; 15669870; 7624790; 7586497; 15669880; 7575499; 15669764; 15669767; 7580823,Rice Flour; Sooji & Rava; Other Dals; Sooji & Rava; Ghee; Namkeen; Sooji & Rava; Aluminium Foil & Cling Wrap; Besan; Urad Dal; Sunflower Oils,15668462,Gourd & Cucumber,"15668462 (Gourd & Cucumber) - Conf: 0.1691, Lift: 1.3502, Factor: 1"
7397712,15668453; 29247044; 15669769; 34987110; 15669860; 15669884; 15669872,Brinjals; Besan; Other Dals; Curd; Moong Dal; Whole Spices; Avalakki / Poha,15668378,Other Vegetables,"15668378 (Other Vegetables) - Conf: 0.1805, Lift: 1.3231, Factor: 1"
7399616,34986123; 15670168; 15670157; 15670259; 15668449; 15670251; 15668416; 15668480; 15670248; 92978776,Whole Spices; Organic F&V; Organic F&V; Organic F&V; Exotic Vegetables; Organic F&V; Banana; Bread; Organic F&V; Basmati Rice,,,
7402891,7735760; 15668473; 15668462; 15669785; 15669864; 15668457; 15668469; 7642810; 15668467,Namkeen; Beans; Gourd & Cucumber; Boiled Rice; Other Dals; Brinjals; Beans; Basmati Rice; Beans,15668460; 15668381; 15668379; 15668688; 15668462; 15669860; 15668468,Gourd & Cucumber; Other Vegetables; Other Vegetables; Root Vegetables; Gourd & Cucumber; Moong Dal; Beans,"15668460 (Gourd & Cucumber) - Conf: 0.4554, Lift: 2.4674, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.4010, Lift: 1.9633, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.2946, Lift: 1.5960, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.2756, Lift: 1.4836, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.2338, Lift: 1.8670, Factor: 1; 15669860 (Moong Dal) - Conf: 0.1865, Lift: 1.7348, Factor: 1; 15668468 (Beans) - Conf: 0.1846, Lift: 1.4609, Factor: 1"
7403298,7574242; 15669875; 15668375; 7624788; 7630967; 7572303; 15669860; 7580089; 7587656; 15670269,Vermicelli; Toor Dal; Root Vegetables; Ghee; Regular Pasta; Namkeen; Moong Dal; Ice Creams & Desserts; Organic Rice & Rice Products; Other Dals,15668378,Other Vegetables,"15668378 (Other Vegetables) - Conf: 0.1805, Lift: 1.3231, Factor: 1"
7403661,15669822; 34989674; 15669994; 15669791; 15669769; 15670270,Other Dals; Other Oils; Other Dals; Raw Rice; Other Dals; Other Dals,,,
7406145,15669764; 15669880; 15669795; 15669791; 15669782; 15669776; 15669863; 15669792; 15669760; 7726260; 15669770; 7574197,Besan; Sooji & Rava; Other Dry Fruits; Raw Rice; Raw Rice; Other Dals; Moong Dal; Other Dry Fruits; Whole Spices; Other Oils; Other Flours; Vermicelli,15668468; 15668465; 15668462,Beans; Root Vegetables; Gourd & Cucumber,"15668468 (Beans) - Conf: 0.1754, Lift: 1.3874, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.1712, Lift: 1.3221, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.1691, Lift: 1.3502, Factor: 1"
7406752,15668468; 15669859; 15669864; 15668379; 7541573; 15668688; 15669856,"Beans; Toor Dal; Other Dals; Other Vegetables; Glucose, Marie & Milk Biscuits; Root Vegetables; Sugar",15668688; 15668460; 15668379; 15668381; 15668378; 15668467; 15669878; 15668478; 15668465; 15668468,Root Vegetables; Gourd & Cucumber; Other Vegetables; Other Vegetables; Other Vegetables; Beans; Toor Dal; Banana; Root Vegetables; Beans,"15668688 (Root Vegetables) - Conf: 0.3496, Lift: 1.8820, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3446, Lift: 1.8670, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.3415, Lift: 1.8499, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3155, Lift: 1.5446, Factor: 1; 15668378 (Other Vegetables) - Conf: 0.2837, Lift: 2.0794, Factor: 1; 15668467 (Beans) - Conf: 0.2769, Lift: 2.0591, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2630, Lift: 1.5338, Factor: 1; 15668478 (Banana) - Conf: 0.2619, Lift: 1.8369, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2573, Lift: 1.9869, Factor: 1; 15668468 (Beans) - Conf: 0.2338, Lift: 1.8499, Factor: 1"
7409204,15669778; 15669763; 15668379; 15669772; 15669764; 15668457; 15668688; 15668478,Other Dals; Other Dals; Other Vegetables; Other Dals; Besan; Brinjals; Root Vegetables; Banana,15668688; 15668460; 15668379; 15668381; 15668378; 15668467; 15669878; 15668478; 15668465; 15669863,Root Vegetables; Gourd & Cucumber; Other Vegetables; Other Vegetables; Other Vegetables; Beans; Toor Dal; Banana; Root Vegetables; Moong Dal,"15668688 (Root Vegetables) - Conf: 0.3496, Lift: 1.8820, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3446, Lift: 1.8670, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.3415, Lift: 1.8499, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.2985, Lift: 1.4617, Factor: 1; 15668378 (Other Vegetables) - Conf: 0.2837, Lift: 2.0794, Factor: 1; 15668467 (Beans) - Conf: 0.2769, Lift: 2.0591, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2630, Lift: 1.5338, Factor: 1; 15668478 (Banana) - Conf: 0.2619, Lift: 1.8369, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2573, Lift: 1.9869, Factor: 1; 15669863 (Moong Dal) - Conf: 0.1820, Lift: 1.4669, Factor: 1"
7410387,15668462; 15668685; 15668474; 93176431; 7640186; 15668457; 15669780,Gourd & Cucumber; Beans; Beans; Namkeen; Honey; Brinjals; Sugar,15668381; 15668379; 15668688; 15668460; 15669860,Other Vegetables; Other Vegetables; Root Vegetables; Gourd & Cucumber; Moong Dal,"15668381 (Other Vegetables) - Conf: 0.4010, Lift: 1.9633, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.2976, Lift: 1.6124, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.2756, Lift: 1.4836, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.2443, Lift: 1.3233, Factor: 1; 15669860 (Moong Dal) - Conf: 0.1865, Lift: 1.7348, Factor: 1"
7412276,21409002; 15668469; 15669869; 15669777; 15669818; 15668463; 15668453; 15669821; 15669772,Moong Dal; Beans; Moong Dal; Urad Dal; Whole Spices; Gourd & Cucumber; Brinjals; Whole Spices; Other Dals,15668381; 15668460; 15668478; 15668467,Other Vegetables; Gourd & Cucumber; Banana; Beans,"15668381 (Other Vegetables) - Conf: 0.2703, Lift: 1.3233, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.2561, Lift: 1.3874, Factor: 1; 15668478 (Banana) - Conf: 0.1887, Lift: 1.3233, Factor: 1; 15668467 (Beans) - Conf: 0.1775, Lift: 1.3195, Factor: 1"
7414189,93289486; 15668688; 15668457; 93176431; 15669782; 7621686; 7630963,Phenyles & Acids; Root Vegetables; Brinjals; Namkeen; Raw Rice; Butter & Cream; Tomato Ketchup,15668381; 15668378; 15668688; 15669878; 15668465,Other Vegetables; Other Vegetables; Root Vegetables; Toor Dal; Root Vegetables,"15668381 (Other Vegetables) - Conf: 0.2985, Lift: 1.4617, Factor: 1; 15668378 (Other Vegetables) - Conf: 0.2837, Lift: 2.0794, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.2713, Lift: 1.4609, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2630, Lift: 1.5338, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2350, Lift: 1.8146, Factor: 1"
